id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
249,Scabies,National Institute of Allergy and Infectious Diseases,Infections,Scabies,"[u'Scabies', u'Parasitic Diseases']"
250,Sexually Transmitted Diseases,National Institute of Allergy and Infectious Diseases,Infections,Sexually Transmitted Diseases,"[u'Chlamydia, Gonorrhea, and Syphilis', u'Molluscum Contagiosum', u'Pubic ""Crab"" Lice', u'What Are Some Types of STDs/STIs?', u'Cervicitis', u'Chancroid', u'Donovanosis (granuloma inguinale)', u'Endocervical culture', u'Epididymitis', u'Genital sores - female', u'Genital sores - male', u'Gram stain of urethral discharge', u'Molluscum contagiosum', u'Orchitis', u'Pubic lice', u'Safe sex', u'Urethral discharge culture', u'Urethritis', u'Urination - painful', u'Vaginal itching and discharge - Adult and adolescent', u'Chlamydia Infections', u'Genital Herpes', u'Genital Warts', u'Gonorrhea', u'HIV/AIDS', u'HPV', u'Pelvic Inflammatory Disease', u'Syphilis', u'Trichomoniasis']"
251,Sinus Infection,National Institute of Allergy and Infectious Diseases,Infections,Sinusitis,"[u'Acute Sinusitis', u'Chronic Sinusitis', u'Fungal Sinusitis', u'Saline nasal washes', u'Sinus CT scan', u'Sinus MRI scan', u'Sinus x-ray', u'Sinusitis', u'Sinusitis in adults - aftercare', u'Stuffy or runny nose - adult', u'Stuffy or runny nose - children', u'Allergy', u'Common Cold', u'Headache']"
252,Smallpox,National Institute of Allergy and Infectious Diseases,Infections,Smallpox,"[u'Smallpox', u'Biodefense and Bioterrorism']"
253,Staphylococcal Infections,National Institute of Allergy and Infectious Diseases,Infections,Staphylococcal Infections,"[u'Boils and Carbuncles', u'Toxic Shock Syndrome', u'Toxic Shock Syndrome', u'VISA/VRSA (Vancomycin-Intermediate/Resistant Staphylococcus aureus) in Healthcare Settings', u'Boils', u'Carbuncle', u'Nasopharyngeal culture', u'Nikolsky sign', u'Scalded skin syndrome', u'Staph infections -- self-care at home', u'Toxic shock syndrome', u'Tracheitis', u'Cellulitis', u'Impetigo', u'MRSA']"
254,Syphilis,National Institute of Allergy and Infectious Diseases,Infections,Syphilis,"[u'Tabes Dorsalis', u'Congenital syphilis', u'CSF-VDRL test', u'FTA-ABS test', u'General paresis', u'Gumma', u'Interstitial keratitis', u'Neurosyphilis', u'RPR test', u'Syphilis - primary', u'Syphilitic aseptic meningitis', u'Syphilitic myelopathy', u'VDRL test', u'Sexually Transmitted Diseases']"
255,TB,National Institute of Allergy and Infectious Diseases,Infections,Tuberculosis,"[u'Difference Between Latent TB Infection and Active TB Disease', u'Extensively Drug-Resistant Tuberculosis (XDR TB)', u'What is Multidrug and Extensively Drug Resistant TB?', u'ACE blood test', u'Acid-fast stain', u'Chest x-ray', u'Coughing up blood', u'Disseminated tuberculosis', u'Gastric culture', u'Hemoglobinuria test', u'Mediastinoscopy with biopsy', u'Meningitis - tuberculous', u'Mycobacterial culture', u'Open pleural biopsy', u'Pleural fluid culture', u'Pleural needle biopsy', u'PPD skin test', u'Pulmonary tuberculosis', u'Routine sputum culture', u'Scrofula', u'Sputum stain for mycobacteria', u'Synovial biopsy', u'Taking medicines to treat tuberculosis', u'Thoracic CT', u'Mycobacterial Infections']"
256,Toxoplasmosis,National Institute of Allergy and Infectious Diseases,Infections,Toxoplasmosis,"[u'Toxoplasmosis (and the Eye)', u'Congenital toxoplasmosis', u'Toxoplasma test', u'Toxoplasmosis', u'Parasitic Diseases']"
257,Trichomoniasis,National Institute of Allergy and Infectious Diseases,Infections,Trichomoniasis,"[u'Trichomoniasis', u'Vaginitis test - wet mount', u'Sexually Transmitted Diseases', u'Vaginal Diseases', u'Vaginitis']"
258,West Nile Virus,National Institute of Allergy and Infectious Diseases,Infections,West Nile Virus,"[u'West Nile virus', u'Encephalitis', u'Insect Bites and Stings']"
259,Zika Virus,National Institute of Allergy and Infectious Diseases,Infections,Zika Virus,"[u'Dispelling Rumours Around Zika and Complications', u'Zika virus disease']"
260,Abuse; Domestic Violence; Elder Abuse,,Injuries and Wounds,Child Abuse,"[u'Abusive Head Trauma (Shaken Baby Syndrome)', u'Acts of Omission: An Overview of Child Neglect', u'Munchausen by Proxy Syndrome', u'Shaken Baby Syndrome', u'What Is Child Traumatic Stress?', u'Child abuse - physical', u'Child neglect and psychological abuse', u'Munchausen syndrome by proxy', u'Shaken baby syndrome', u'Child Sexual Abuse']"
261,Accidents; Wounds and Injuries,,Injuries and Wounds,First Aid,"[u'Anaphylaxis: First Aid', u'Choking: First Aid', u'Frostbite: First Aid', u'Heat Exhaustion and Heatstroke', u'Learn CPR You Can Do It!', u'Nosebleeds', u'Seizures', u'Shock: First Aid', u'Ten Common First Aid Mistakes', u'Unconsciousness, First Aid', u'What do I need in my first aid kit?', u'Bleeding', u'Breathing difficulties - first aid', u'Capillary nail refill test', u'Cardiogenic shock', u'Choking - adult or child over 1 year', u'Choking - infant under 1 year', u'Choking - unconscious adult or child over 1 year', u'Creating a sling - slideshow', u'Drug abuse first aid', u'Ear emergencies', u'First aid kit', u'Fishhook removal', u'Hand splint - slideshow', u'Heimlich maneuver', u'How to make a sling', u'How to make a splint', u'Hypovolemic shock', u'Lacerations - liquid bandage', u'Poisoning first aid', u'Scrape', u'Shock', u'Splinter removal', u'Unconsciousness - first aid', u'Animal Bites', u'Burns', u'Choking', u'CPR', u'Disaster Preparation and Recovery', u'Emergency Medical Services', u'Foreign Bodies', u'Heat Illness', u'Hypothermia', u'Insect Bites and Stings', u'Shock']"
262,Achilles Tendon Injuries,,Injuries and Wounds,Heel Injuries and Disorders,"[u'Achilles Tendinitis', u'Achilles Tendon Rupture', u'Calcaneus (Heel Bone) Fractures', u'Cracked Heels', u""Haglund's Deformity"", u'Medial and Lateral Plantar Nerve Entrapment', u'Plantar Fasciitis', u'Achilles tendinitis', u'Achilles tendon repair', u'Achilles tendon rupture - aftercare', u'Bursitis of the heel', u'Heel pain', u'Heel pain and Achilles tendonitis -- aftercare', u'Plantar fasciitis', u'Foot Health', u'Foot Injuries and Disorders']"
263,ACL Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Knee Injuries and Disorders,"[u'ACL Injuries', u""Baker's Cyst"", u'Hyperextended Knee: Cause of Serious Injury?', u'Osteochondritis Dissecans (OCD)', u'Patellar Tendinitis', u'Patellofemoral Pain Syndrome', u'Pigmented Villonodular Synovitis (PVNS)', u'Posterior Cruciate Ligament Injury', u'ACL reconstruction', u'ACL reconstruction - discharge', u'Anterior crucate ligament (ACL) injury', u'Anterior cruciate ligament (ACL) injury -- aftercare', u'Anterior knee pain', u'Baker cyst', u'Broken kneecap - aftercare', u'Collateral ligament (CL) injury -- aftercare', u'Getting your home ready - knee or hip surgery', u'Iliotibial band syndrome -- aftercare', u'Knee arthroscopy', u'Knee arthroscopy - discharge', u'Knee CT scan', u'Knee microfracture surgery', u'Knee MRI scan', u'Knee pain', u'Kneecap dislocation - aftercare', u'Meniscal allograft transplantation', u'Meniscus tears -- aftercare', u'Osgood-Schlatter disease', u'Osteotomy of the knee', u'Posterior cruciate ligament (PCL) injury -- aftercare', u'Knee Replacement', u'Leg Injuries and Disorders']"
264,Adhesions,National Institute of Diabetes and Digestive and Kidney Diseases,Injuries and Wounds,Adhesions,"[u'Intestinal Ischemia', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Adhesion', u'Intestinal ischemia and infarction', u'Intestinal obstruction', u'Intestinal obstruction repair  - slideshow', u'Intestinal Obstruction']"
265,Animal Bites,,Injuries and Wounds,Animal Bites,"[u'Animal Bites of the Hand', u'Dog Bite Emergencies', u'Dog Bites', u'Lizard Bites', u'Scorpion Stings', u'Animal bite - first aid - slideshow', u'Animal bites - self-care', u'Jellyfish stings', u'Marine animal stings or bites', u'Poisonous snakes - slideshow', u'Scorpion fish sting', u'Scorpions', u'Snake bites', u'Stingray', u'Stonefish', u'Animal Diseases and Your Health', u'Cat Scratch Disease', u'Insect Bites and Stings', u'Monkeypox Virus Infections', u'Rabies', u'Spider Bites', u'Tick Bites']"
266,Ankle Injuries and Disorders,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Ankle Injuries and Disorders,"[u'Ankle Fractures', u'Broken Ankle/Broken Foot', u'Chronic Ankle Instability', u'Equinus', u'Os Trigonum Syndrome', u'Osteoarthritis of the Foot and Ankle', u'Peroneal Tendon Injuries', u'Talar Dome Lesion', u'Ankle arthroscopy', u'Ankle fracture - aftercare', u'Ankle pain', u'Ankle replacement', u'Ankle replacement - discharge', u'Ankle sprain - aftercare', u'Foot, leg, and ankle swelling', u'Leg MRI scan', u'Foot Injuries and Disorders', u'Sprains and Strains']"
267,Arm Injuries and Disorders,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Arm Injuries and Disorders,"[u'Biceps Tendinitis or Tendinopathy (Beyond the Basics)', u'Broken Arm', u""Buerger's Disease"", u'Chronic Exertional Compartment Syndrome', u'Distal Radius Fracture (Broken Wrist)', u'Lymphedema', u'Nerve Injuries of the Upper Extremity', u'Ulnar Nerve Entrapment at the Elbow (Cubital Tunnel Syndrome)', u'Vascular Disorders', u'Arm CT scan', u'Arm MRI scan', u'Armpit lump', u'Brachial plexopathy', u'Brachial plexus injury in newborns', u'Radial head fracture - aftercare', u'Radial nerve dysfunction', u'Skeletal limb abnormalities', u'Volkmann ischemic contracture', u'Elbow Injuries and Disorders', u'Hand Injuries and Disorders', u'Shoulder Injuries and Disorders', u'Wrist Injuries and Disorders']"
268,Babesiosis,National Institute of Allergy and Infectious Diseases,Injuries and Wounds,Tick Bites,"[u'Anaplasmosis', u'Babesiosis', u'Heartland Virus', u'Powassan (POW) Virus Basics', u'Q Fever', u'Rocky Mountain Spotted Fever', u'Southern Tick-Associated Rash Illness (STARI)', u'Tick Paralysis', u'Tick-Borne Encephalitis (TBE)', u'Tick-Borne Relapsing Fever', u""Travelers' Health: Rickettsial (Spotted and Typhus Fevers) and Related Infections (Anaplasmosis and Ehrlichiosis)"", u'Colorado tick fever', u'Ehrlichiosis', u'Relapsing fever', u'Rocky Mountain spotted fever', u'Serology for tularemia', u'Tick bite', u'Tick paralysis', u'Tick removal', u'Tularemia', u'Insect Bites and Stings', u'Lyme Disease']"
269,Back Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Back Injuries,"[u'Fractures of the Thoracic and Lumbar Spine', u'Back pain - returning to work', u'Back pain and sports', u'Compression fractures of the back', u'Lifting and bending the right way', u'Lumbosacral spine x-ray', u'Returning to sports after a back injury', u'Spinal fusion', u'Spinal fusion  - slideshow', u'Vertebroplasty - slideshow', u'Back Pain', u'Herniated Disk']"
270,Bed Bugs,,Injuries and Wounds,Bed Bugs,[u'Insect Bites and Stings']
271,Bee Stings,National Institute of Allergy and Infectious Diseases,Injuries and Wounds,Insect Bites and Stings,"[u'Bee Stings', u'Bug bites and stings: When to see a dermatologist', u'Fire Ant Allergy', u'Fire Ant Bites', u'Mosquito Bites', u'Wings and Stings', u'Anaphylaxis', u'Bee poison', u'Bug repellent safety', u'Caterpillars', u'Fire ants', u'Fleas', u'Insect bites and stings', u'Typhus', u'Wasp sting', u'Anaphylaxis', u'Animal Bites', u'Bed Bugs', u'Chikungunya', u'Dengue', u'Lyme Disease', u'Malaria', u'Plague', u'Spider Bites', u'Tick Bites', u'West Nile Virus', u'Zika Virus']"
272,Black Widow Spider Bites,,Injuries and Wounds,Spider Bites,"[u'Black Widow Spider', u'Brown Recluse Spider', u'Black widow spider', u'Brown recluse spider', u'Funnel-web spider bite', u'Tarantula spider', u'Animal Bites', u'Insect Bites and Stings', u'Tick Bites']"
273,Bleeding,,Injuries and Wounds,Bleeding,"[u'Anemia Due to Excessive Bleeding', u'Cerebral Cavernous Malformation and Hemorrhage', u'Facts about Vitamin K Deficiency Bleeding', u'Gastrointestinal Bleeding: MedlinePlus Health Topic', u'Intracerebral Hemorrhage', u'Intracranial Hematoma', u'Nosebleeds', u'Subarachnoid Hemorrhage', u'Subconjunctival Hemorrhage (Broken Blood Vessel in Eye)', u'Vaginal Bleeding: MedlinePlus Health Topic', u'Bleeding', u'Bleeding during cancer treatment', u'Bleeding gums', u'Bleeding into the skin', u'Blood clotting', u'Blood in the semen', u'Coughing up blood', u'Epidural hematoma', u'Intraventricular hemorrhage of the newborn', u'Nosebleed', u'Splinter hemorrhages', u'Subarachnoid hemorrhage', u'Subconjunctival hemorrhage', u'Urine - bloody', u'Bleeding Disorders', u'Blood Disorders', u'Gastrointestinal Bleeding', u'Platelet Disorders', u'Vaginal Bleeding']"
274,Brachial Plexus Injuries,National Institute of Neurological Disorders and Stroke,Injuries and Wounds,Brachial Plexus Injuries,[]
275,Brain Concussion,National Institute of Neurological Disorders and Stroke,Injuries and Wounds,Concussion,"[u'Concussion in Sports', u'Concussion in Winter Sports', u'Concussion', u'Concussion', u'Concussion - adults - discharge', u'Concussion - child - discharge', u'Concussion - what to ask your doctor - adult', u'Concussion - what to ask your doctor - child', u'Head CT scan', u'Preventing head injuries in children', u'Skull x-ray', u'Head Injuries', u'Traumatic Brain Injury']"
276,Broken Bones,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Fractures,"[u'Avulsion Fracture: How Is It Treated?', u'Stress Fractures', u'Ankle fracture - aftercare', u'Bone fracture repair  - slideshow', u'Bone scan', u'Bone x-ray', u'Broken bone', u'Broken collarbone - aftercare', u'Closed reduction of a fractured bone', u'Closed reduction of a fractured bone - aftercare', u'Creating a sling - slideshow', u'Hand fracture - aftercare', u'Hardware removal - extremity', u'How to make a sling', u'Joint x-ray', u'Metatarsal fracture (acute) - aftercare', u'Metatarsal stress fractures - aftercare', u'Nasal fracture - aftercare', u'Pin care', u'Radial head fracture - aftercare', u'X-ray - skeleton', u'Ankle Injuries and Disorders', u'Arm Injuries and Disorders', u'Bone Diseases', u'Elbow Injuries and Disorders', u'Finger Injuries and Disorders', u'Foot Injuries and Disorders', u'Hand Injuries and Disorders', u'Heel Injuries and Disorders', u'Hip Injuries and Disorders', u'Jaw Injuries and Disorders', u'Knee Injuries and Disorders', u'Leg Injuries and Disorders', u'Neck Injuries and Disorders', u'Osteoporosis', u'Shoulder Injuries and Disorders', u'Toe Injuries and Disorders', u'Wrist Injuries and Disorders']"
277,Bruises,,Injuries and Wounds,Bruises,"[u'Black Eye', u'Bruising Hands and Arms', u'Immune Thrombocytopenia', u'Bleeding into the skin', u'Bruise', u'Bruise healing - slideshow', u'Bleeding', u'Bleeding Disorders', u'Platelet Disorders']"
278,Bunions,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Toe Injuries and Disorders,"[u'Broken Toe', u'Bunions (Hallux Abducto Valgus)', u'Capsulitis of the Second Toe', u'Fractures of the Fifth Metatarsal', u'Hallux Rigidus', u'Hammertoe', u'Hammertoe and Mallet Toe', u'Neuromas', u'Sesamoid Injuries in the Foot', u""Tailor's Bunion (Bunionette)"", u'Toe and Metatarsal Fractures (Broken Toes)', u'Turf Toe', u'Broken toe - self care', u'Bunion', u'Bunion removal', u'Bunion removal  - slideshow', u'Bunion removal - discharge', u'Bunions', u'Clubbing of the fingers or toes', u'Hammer toe', u'Hammer toe repair', u'Hammer toe repair - discharge', u'Polydactyly', u'Repair of webbed fingers or toes', u'Replantation of digits', u'Replantation of digits  - slideshow', u'Webbing of the fingers or toes', u'Corns and Calluses', u'Foot Health', u'Foot Injuries and Disorders']"
279,Burns,National Institute of General Medical Sciences,Injuries and Wounds,Burns,"[u'Chemical Burns: First Aid', u'Electrical Burns: First Aid', u'Fireworks Safety', u'Risk of Burns from Eruptions of Hot Water Overheated in Microwave Ovens', u'Scald Burns', u'Burns', u'Chemical burn or reaction', u'Hyperbaric oxygen therapy', u'Minor burn - first aid - slideshow', u'Minor burns - aftercare', u'Skin graft', u'Skin graft  - slideshow', u'Electrical Injuries', u'Fire Safety', u'Inhalation Injuries', u'Wildfires']"
280,Cardiopulmonary Resuscitation,"National Heart, Lung, and Blood Institute",Injuries and Wounds,CPR,"[u'Adult First Aid/CPR/AED Ready Reference', u'Hands-Only CPR', u'Learn CPR You Can Do It!', u'Breathing difficulties - first aid', u'CPR', u'CPR - adult', u'CPR - adult - slideshow', u'CPR - child (1 to 8 years old)', u'CPR - child 1 to 8 years old - slideshow', u'CPR - infant', u'CPR - infant - slideshow', u'Myocardial contusion', u'Cardiac Arrest', u'First Aid']"
281,Cervical Spine,,Injuries and Wounds,Neck Injuries and Disorders,"[u'Burners', u'Cervical Dystonia (Spasmodic Torticollis)', u'Cervical Radiculopathy (Pinched Nerve)', u'Cervical Spondylosis', u'Cervical Spondylosis (Arthritis of the Neck)', u'Cervical Spondylotic Myelopathy (CSM)', u'Cervical Stenosis, Myelopathy and Radiculopathy', u'Herniated Cervical Disc', u'Repetitive Motion Disorders', u'Stiff Neck', u'Whiplash', u'Whiplash and Whiplash Associated Disorder (WAS)', u'Branchial cleft cyst', u'Cervical MRI scan', u'Cervical spine CT scan', u'Cervical spondylosis', u'Hump behind the shoulders', u'Neck lump', u'Neck pain', u'Neck pain or spasms -- self care', u'Neck x-ray', u'Spinal fusion', u'Spinal fusion  - slideshow', u'Spinal surgery --  cervical  - slideshow', u'Torticollis', u'Head and Neck Cancer', u'Spine Injuries and Disorders']"
282,Chest Injuries and Disorders,,Injuries and Wounds,Chest Injuries and Disorders,"[u'Atelectasis', u'Costochondritis', u'Mediastinitis', u'Rib Fractures', u'Chest MRI', u'Chest tube insertion', u'Chest tube insertion - slideshow', u'Chest x-ray', u'Costochondritis', u'Mediastinal tumor', u'Mediastinitis', u'Mediastinoscopy with biopsy', u'Pectus carinatum', u'Pectus excavatum', u'Pectus excavatum - discharge', u'Pectus excavatum repair', u'Pectus excavatum repair  - slideshow', u'Pneumomediastinum', u'Rib cage pain', u'Rib fracture - aftercare', u'Thoracic CT', u'Chest Pain', u'Collapsed Lung', u'Pleural Disorders']"
283,Chilblains,,Injuries and Wounds,Frostbite,"[u'Chilblains', u'Nonfreezing Tissue Injuries', u'Trench Foot or Immersion Foot', u'Frostbite', u'How to prevent frostbite and hypothermia', u'Hypothermia', u'Winter Weather Emergencies']"
284,Choking,,Injuries and Wounds,Choking,"[u'Blockage of upper airway', u'Choking - adult or child over 1 year', u'Choking - infant under 1 year', u'Choking - unconscious adult or child over 1 year', u'Choking first aid - adult or child over 1 year - slideshow', u'Choking first aid - infant under 1 year - slideshow', u'Emergency airway puncture', u'Emergency airway puncture  - slideshow', u'Foreign object - inhaled or swallowed', u'Heimlich maneuver', u'Heimlich maneuver on self', u'Foreign Bodies']"
285,Claudication,,Injuries and Wounds,Leg Injuries and Disorders,"[u'Achilles Tendon Rupture', u'Broken Leg', u""Buerger's Disease"", u'Claudication', u'Femur Shaft Fractures (Broken Thighbone)', u'Hereditary Spastic Paraplegia', u'Leg Swelling', u'Lymphedema', u'Meralgia Paresthetica', u'Night Leg Cramps', u'Peripheral Arterial Disease and Claudication', u'Posterior Tibial Tendon Dysfunction', u'Shin Splints', u'Sprains and Strains', u'Thrombophlebitis', u'Tibia (Shinbone) Shaft Fractures', u'Troyer Syndrome', u'What Is the Difference between Pseudoclaudication and Claudication?', u'Blount disease', u'Bowlegs', u'Charley horse', u'Common peroneal nerve dysfunction', u'Femoral nerve dysfunction', u'Femur fracture repair - discharge', u'Foot, leg, and ankle swelling', u'Iliotibial band syndrome -- aftercare', u'Ischemic ulcers -- self-care', u'Knock knees', u'Leg CT scan', u'Leg lengthening  - slideshow', u'Leg lengthening and shortening', u'Leg MRI scan', u'Leg or foot amputation', u'Leg pain', u'Shin splints - self-care', u'Skeletal limb abnormalities', u'Tibial nerve dysfunction', u'Venous insufficiency', u'Venous ulcers -- self-care', u'Ankle Injuries and Disorders', u'Deep Vein Thrombosis', u'Foot Injuries and Disorders', u'Hip Injuries and Disorders', u'Knee Injuries and Disorders', u'Restless Legs', u'Varicose Veins', u'Vascular Diseases', u'Walking Problems']"
286,Clavicle Injuries,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Shoulder Injuries and Disorders,"[u'Clavicle Fracture (Broken Collarbone)', u'Dislocated Shoulder', u'Frozen Shoulder', u'Separated Shoulder', u'Shoulder Fractures', u'Shoulder Instability', u'SLAP Tears', u'Tendinitis and Bursitis', u'Brachial plexopathy', u'Broken collarbone - aftercare', u'Dislocated shoulder - aftercare', u'Fractured clavicle in the newborn', u'Frozen shoulder', u'Frozen shoulder - aftercare', u'Shoulder arthroscopy', u'Shoulder CT scan', u'Shoulder joint dislocation', u'Shoulder MRI scan', u'Shoulder pain', u'Shoulder replacement', u'Shoulder replacement - discharge', u'Shoulder separation - aftercare', u'Shoulder surgery - discharge', u'Using your shoulder after replacement surgery', u'Using your shoulder after surgery', u'Arm Injuries and Disorders', u'Brachial Plexus Injuries', u'Hand Injuries and Disorders', u'Rotator Cuff Injuries', u'Thoracic Outlet Syndrome']"
287,Cranial Injuries,,Injuries and Wounds,Head Injuries,"[u'Intracranial hematoma', u'Recreation-Related Head Injuries', u'Head CT scan', u'Head injury - first aid', u'Preventing head injuries in children', u'Skull fracture', u'Skull x-ray', u'Concussion', u'Traumatic Brain Injury']"
288,Craniofacial Injuries,National Institute of Dental and Craniofacial Research,Injuries and Wounds,Facial Injuries and Disorders,"[u'Coffin Lowry Syndrome', u'Facial Sports Injuries', u'Hemifacial Spasm', u'Melkersson-Rosenthal Syndrome', u'Moebius Syndrome', u'Parry-Romberg (Syndrome)', u'Face pain', u'Facial nerve palsy due to birth trauma', u'Facial paralysis', u'Facial swelling', u'Facial tics', u'Facial trauma', u""Bell's Palsy"", u'Cleft Lip and Palate', u'Craniofacial Abnormalities', u'Nose Injuries and Disorders', u'Plastic and Cosmetic Surgery', u'Trigeminal Neuralgia']"
289,Cubital Tunnel Syndrome,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Elbow Injuries and Disorders,"[u'Cubital Tunnel Syndrome', u'Elbow (Olecranon) Bursitis', u'Elbow Fractures', u'Elbow Tendinopathy (Tennis and Golf Elbow) (Beyond the Basics)', u""Golfer's Elbow"", u'Osteochondritis Dissecans (OCD)', u'Repetitive Motion Disorders', u'Tennis Elbow', u'Tennis Elbow (Lateral Epicondylitis)', u'Ulnar Nerve Entrapment at the Elbow (Cubital Tunnel Syndrome)', u'Arm MRI scan', u'Elbow pain', u'Elbow replacement', u'Elbow replacement - discharge', u'Elbow sprain -- aftercare', u""Medial epicondylitis - golfer's elbow"", u""Nursemaid's elbow"", u'Tennis elbow', u'Tennis elbow surgery', u'Tennis elbow surgery - discharge', u'Hand Injuries and Disorders', u'Wrist Injuries and Disorders']"
290,Dislocations,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Dislocations,"[u'Dislocated Shoulder', u'Jaw Dislocation', u'Dislocated shoulder - aftercare', u'Dislocation', u'How to make a sling', u'Jaw - broken or dislocated', u'Kneecap dislocation', u'Kneecap dislocation - aftercare', u""Nursemaid's elbow"", u'Sports Injuries', u'Sprains and Strains']"
291,Domestic Violence,,Injuries and Wounds,Domestic Violence,"[u'Dating Violence', u'Domestic Violence against Men: Know the Signs', u'Domestic Violence against Women: Recognize Patterns, Seek Help', u'Intimate Partner Violence', u'Know Your Rights: Domestic Violence', u""Men's Health: Violence Prevention"", u'Rural Domestic Violence', u'Violence against Women: Safety Planning for Abusive Situations', u'Violence Against Women: Same-Sex Relationship Violence', u'Domestic violence', u'Child Abuse', u'Child Sexual Abuse', u'Elder Abuse', u'Sexual Assault', u'Teen Violence']"
292,Drowning,,Injuries and Wounds,Drowning,[]
293,Dupuytren Contracture,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Finger Injuries and Disorders,"[u'Extensor Tendon Injuries', u'Flexor Tendon Injuries', u'Thumb Arthritis', u'Thumb Arthritis', u'Thumb Sprains', u'Trigger Finger', u'Trigger Finger (Stenosing Tenosynovitis)', u'Arachnodactyly', u'Claw hand', u'Clubbing of the fingers or toes', u'Finger pain', u'Fingers that change color', u'Mallet finger - aftercare', u'Polydactyly', u'Repair of webbed fingers  - slideshow', u'Repair of webbed fingers or toes', u'Replantation of digits', u'Replantation of digits  - slideshow', u'Skiers thumb - aftercare', u'Smashed fingers', u'Trigger finger', u'Webbing of the fingers or toes', u'Hand Injuries and Disorders', u'Nail Diseases', u""Raynaud's Disease""]"
294,Elder Abuse,National Institute on Aging,Injuries and Wounds,Elder Abuse,"[u'Neglect and Self-Neglect', u'Physical Abuse', u'Sexual Abuse', u'Domestic Violence']"
295,Electrical Injuries,,Injuries and Wounds,Electrical Injuries,[]
296,Eye Injuries,National Eye Institute,Injuries and Wounds,Eye Injuries,"[u'Black Eye', u'Corneal Abrasions', u'Corneal Laceration', u'Eye Injuries at Home', u'Eye Injuries at Work', u'Eye Injuries in Construction', u'Eye Injuries in Sports', u'Hyphema', u'Macular Pucker', u'Blinking', u'Corneal injury', u'Corneal injury', u'Eye - foreign object in', u'Eye emergencies', u'Fluorescein eye stain', u'Hyphema', u'Slit-lamp exam', u'Retinal Detachment']"
297,Foot Injuries and Disorders,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Injuries and Wounds,Foot Injuries and Disorders,"[u'Arthritis and the Feet', u'Broken Ankle/Broken Foot', u'Bunions (Hallux Abducto Valgus)', u'Burning Feet', u'Cavus Foot (High-Arched Foot)', u'Charcot Foot', u'Corns and Calluses', u'Equinus', u'Flatfeet', u'Flexible Flatfoot', u'Foot Drop', u'Fractures of the Fifth Metatarsal', u'Ganglion Cyst', u'Itchy Hands or Feet', u'Lisfranc (Midfoot) Fractures', u'Metatarsalgia', u""Morton's Neuroma"", u'Neuromas', u'Osteoarthritis of the Foot and Ankle', u'Peroneal Tendon Injuries', u'Plantar Fibroma', u'Plantar Fibroma and Plantar Fibromatosis', u'Plantar Warts', u'Posterior Tibial Tendon Dysfunction', u'Puncture Wounds', u""Tailor's Bunion (Bunionette)"", u'Tarsal Coalition', u'Tarsal Tunnel Syndrome', u'Trench Foot or Immersion Foot', u'Claw foot', u'Clubfoot', u'Clubfoot repair', u'Clubfoot repair  - slideshow', u'Common peroneal nerve dysfunction', u'Extremity x-ray', u'Flat feet', u'Foot pain', u'Foot sprain - aftercare', u'Foot, leg, and ankle swelling', u'Hand or foot spasms', u'High arch', u'Leg MRI scan', u'Leg or foot amputation', u'Metatarsal fracture (acute) - aftercare', u'Metatarsal stress fractures - aftercare', u'Metatarsus adductus', u'Morton neuroma', u'Ankle Injuries and Disorders', u'Diabetic Foot', u'Foot Health', u'Heel Injuries and Disorders', u'Leg Injuries and Disorders', u'Toe Injuries and Disorders']"
298,Foreign Bodies,,Injuries and Wounds,Foreign Bodies,"[u'Foreign Object in the Ear: First Aid', u'Foreign Object in the Eye: First Aid', u'Foreign Objects in the Rectum', u'Splinter, First Aid', u'Bezoar', u'Button batteries', u'Eye - foreign object in', u'Foreign body in the nose', u'Foreign object - inhaled or swallowed', u'Splinter removal', u'Child Safety', u'Choking', u'First Aid', u'Safety', u'Wounds and Injuries']"
